specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
1.52E+18,1353,53083,510,228.8858,36.46164,0.1097481,13.47132,9.918622
2.01E+18,1786,54450,632,139.7661,61.92689,0.1079394,16.17262,9.731302
8.82E+17,783,52325,230,195.6691,61.41608,0.1061286,7.714524,10.24174
3.25E+18,2885,54497,176,163.0473,8.953839,0.1749774,14.03383,10.69953
2.27E+18,2012,53493,342,173.9722,36.91055,0.1754627,8.35049,10.63048
9.86E+17,876,52669,36,165.0918,50.32451,0.1256081,6.129642,10.41281
1.91E+18,1694,53472,450,191.3226,13.22478,0.05366325,15.6559,8.840363
1.07E+18,947,52411,532,157.9224,57.61272,0.1242502,4.372955,10.31983
2.19E+18,1944,53385,139,144.6215,27.34251,0.06367353,5.285958,9.525189
2.91E+18,2583,54095,370,147.8248,17.0789,0.06746514,12.7054,9.797423
2.90E+18,2575,54085,524,135.4999,12.35552,0.06683289,5.609268,9.817292
7.18E+17,638,52081,69,318.4991,-7.357359,0.1116965,9.6718,10.02146
1.92E+18,1705,53848,49,213.5815,10.40378,0.06433393,13.90482,9.219679
1.56E+18,1388,53119,339,231.5124,32.32803,0.07855628,12.41527,10.57835
2.37E+18,2105,53472,123,183.2279,35.44265,0.06011532,8.834005,9.457034
9.31E+17,827,52312,316,125.6144,37.1769,0.03902586,20.94662,9.946654
1.19E+18,1058,52520,214,247.7124,32.56374,0.03673092,6.7312,9.464422
2.57E+18,2282,53683,292,133.5967,20.48728,0.03752433,12.59526,9.979517
1.44E+18,1278,52735,481,189.8804,50.58554,0.1176002,11.72341,10.4828
2.22E+18,1972,53466,453,174.1833,39.84551,0.06087975,9.670436,9.648209
1.63E+18,1445,53062,172,175.8099,41.92944,0.1114287,16.99502,10.64626
2.52E+18,2239,53726,592,193.147,30.31459,0.05980602,10.78457,9.86604
6.96E+17,618,52049,72,237.9894,52.2108,0.07004067,14.39435,10.21415
1.11E+18,985,52431,185,316.5263,-0.6675717,0.1348579,8.600116,10.35918
2.22E+18,1973,53432,155,158.1244,36.44889,0.05904535,14.83106,9.839186
2.20E+18,1957,53415,529,156.5291,36.94597,0.06033109,15.09905,9.767998
2.19E+18,1948,53388,170,149.3156,33.97632,0.02934765,22.30185,9.924132
4.90E+17,435,51882,389,117.757,41.05215,0.1133045,17.24617,9.947076
8.46E+17,751,52251,284,0.7146158,14.05862,0.1378008,8.070717,10.49254
2.42E+18,2148,54526,496,223.8785,22.25032,0.1153197,10.90765,10.57583
1.18E+18,1049,52751,623,227.6148,47.61851,0.168639,5.677182,10.47507
1.37E+18,1213,52972,55,139.689,36.46362,0.0470485,13.79483,10.04188
1.55E+18,1374,53083,34,197.3787,44.12302,0.02418388,4.954684,8.491413
2.06E+18,1833,54561,360,227.5707,5.946461,0.08570708,22.16085,10.69685
9.95E+17,884,52374,302,184.3336,52.05373,0.1678772,12.19535,10.64488
1.43E+18,1268,52933,191,128.7914,29.06821,0.1047757,8.964064,10.51743
1.79E+18,1591,52976,47,138.0587,31.18045,0.0627939,11.75797,9.296834
1.85E+18,1643,53143,468,213.33,36.82186,0.1720361,14.07211,11.61891
7.35E+17,653,52145,531,6.243731,-9.205562,0.07691237,13.42093,10.58567
2.97E+18,2642,54232,517,205.643,19.2275,0.0863717,28.99052,10.65735
1.12E+18,993,52710,481,145.7239,6.244028,0.06170741,14.41387,10.14573
2.72E+18,2418,53794,313,119.3178,11.0821,0.04742154,26.4031,10.27664
9.90E+17,879,52365,242,171.154,50.85188,0.1160447,8.231419,10.29742
9.59E+17,852,52375,189,201.2734,4.204522,0.08270624,16.16207,10.50564
2.00E+18,1773,53112,211,198.8995,13.8157,0.1967043,20.30785,10.59417
1.86E+18,1653,53534,227,235.4253,27.685,0.07531957,20.14652,10.59276
1.04E+18,921,52380,109,224.1884,-2.028036,0.08310098,11.00154,10.3429
3.11E+18,2762,54533,315,218.8571,16.13569,0.07802919,8.758365,10.41329
2.23E+18,1978,53473,7,204.3703,27.7731,0.1326263,9.303953,10.21374
8.50E+17,755,52235,258,115.0612,31.46018,0.09119789,6.550623,10.02566
2.48E+18,2201,53904,301,242.9937,15.84602,0.1305888,11.45927,10.653
